2-0-W,5,29
2-10-W,35,59
2-20-E,65,89
2-30-E,95,119
2-40-W,125,149
2-50-E,155,179
5-50-W,185,209
5-40-W,215,239
5-30-E,245,269
5-20-E,275,299
5-10-E,305,329
5-0-E,335,359
ARCA1,365,389
ARCA2,395,419
ARCA3,430,449
BAPI2,455,478
BAPI1,485,509
BAPI3,439,515
